STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED,LAT,LON,WEBSITE,ADDRESS
New Jersey,Ocean City,South Jersey Brazilian Jiu Jitsu - Ocean City,sjbjjoceancity,,,,,,,https://sjbjjoc.com/
New Jersey,Cape May Court House,Cape May Brazilian Jiu Jitsu,capemaybjj,,,,,,,https://capemaybjj.com/
New Jersey,Vineland,Shark Tank Brazilian Jiu Jitsu,sharktankvinelandbjj,,,,,,,https://sharktankbjj.com/
New Jersey,Berlin,South Jersey Brazilian Jiu Jitsu - Berlin,southjerseybjj,,,,,,,https://sjbjj.com/
NYC,New York,Renzo Gracie Academy / Blue Basement,renzogracieacademy,,,,,,,https://renzogracieacademy.com/
NYC,New York,Renzo Gracie Upper West Side,renzogracieuws,,,,,,,https://renzogracieuws.com/
NYC,New York,Renzo Gracie Wall Street,renzograciewallst,,,,,,,https://renzograciewallst.com/
NYC,New York,Renzo Gracie East Side,renzogracieeastside,,,,,,,https://www.renzogracieeastside.com/
NYC,New York,Marcelo Garcia Jiu-Jitsu NYC,mgjjnyc,,,,,,,https://marcelogarciajj.com/nyc/
NYC,New York,Unity Jiu Jitsu,unityjiujitsu,,,,,,,https://unityjiujitsu.com/
NYC,New York,Studio X BJJ,studioxjiujitsu,,,,,,,https://www.studiox.nyc/
NYC,New York,SD Jiu-Jitsu - Studio X,sdjiujitsu,,,,,,,https://www.sdjiujitsu.com/
NYC,New York,10th Planet NYC,10thplanetnyc,,,,,,,https://www.10thplanetjjnyc.com/
NYC,New York,Clockwork Brazilian Jiu-Jitsu,clockworkbjj,,,,,,,https://www.clockworkbjj.com/
NYC,New York,Masterskya,masterskyajiujitsu,,,,,,,https://masterskya.com/
NYC,New York,Paxibellum Jiu-Jitsu,paxibellum,,,,,,,https://paxibellum.com/
NYC,New York,Range Brazilian Jiu-Jitsu,rangebjj,,,,,,,https://www.rangebjj.com/
NYC,New York,Workshop NYC,workshop.nyc,,,,,,,https://www.workshop-nyc.com/
NYC,New York,Five Points Academy,fivepointsacademy,,,,,,,https://www.academyfivepoints.com/
NYC,New York,Ronin Athletics,roninathletics,,,,,,,https://roninathletics.com/
NYC,New York,Modern Martial Arts - Upper East Side,mma_nyc_ues,,,,,,,https://www.mmanewyorkcity.com/upper-east-side-schedule
